Community_id,Density,Fraud_Density,Score,N_Nodes,N_Edges,mailer_nodes,owner_nodes,origin_nodes,label_nodes,mailPiece_nodes,mails_edges,owns_edges,originated_at_edges,part_of_edges,destination_nodes,goes_to_edges,originated_at_fraud_pct,owns_fraud_pct,part_of_manifest_fraud_pct,part_of_mismatch_fraud_pct,mailer_nodes_perc,owner_nodes_perc,origin_nodes_perc,label_nodes_perc,mailPiece_nodes_perc,destination_nodes_perc,mails_edges_perc,owns_edges_perc,originated_at_edges_perc,part_of_edges_perc,goes_to_edges_perc
57,0.022121993127147768,0.005798969072164949,0.01132628597374159,97,103,2.0,1.0,6.0,34,34,10.0,1.0,31.0,34,20.0,27.0,80.64516129032258,0.0,5.88235294117647,0.0,0.020618556701030927,0.010309278350515464,0.061855670103092786,0.35051546391752575,0.35051546391752575,0.20618556701030927,0.0970873786407767,0.009708737864077669,0.30097087378640774,0.3300970873786408,0.2621359223300971
50,0.018910913647755753,0.005582137161084529,0.010274400898504885,133,166,4.0,1.0,9.0,54,54,42.0,3.0,53.0,54,11.0,14.0,18.867924528301888,0.0,72.22222222222221,70.37037037037037,0.03007518796992481,0.007518796992481203,0.06766917293233082,0.40601503759398494,0.40601503759398494,0.08270676691729323,0.25301204819277107,0.018072289156626505,0.3192771084337349,0.3253012048192771,0.08433734939759036
49,0.02123683316343867,0.003907577302072715,0.009109586556883799,109,125,6.0,3.0,6.0,35,35,24.0,5.0,28.0,35,24.0,33.0,78.57142857142857,0.0,2.857142857142857,0.0,0.05504587155963303,0.027522935779816515,0.05504587155963303,0.3211009174311927,0.3211009174311927,0.22018348623853212,0.192,0.04,0.224,0.28,0.264
13,0.022626262626262626,0.0034343434343434343,0.008815120900715729,100,112,6.0,3.0,7.0,32,32,22.0,4.0,25.0,32,20.0,29.0,60.0,0.0,6.25,0.0,0.06,0.03,0.07,0.32,0.32,0.2,0.19642857142857142,0.03571428571428571,0.22321428571428573,0.2857142857142857,0.25892857142857145
45,0.013897488820089439,0.0027519779841761265,0.00618430135651716,171,202,13.0,3.0,10.0,63,63,48.0,5.0,55.0,63,19.0,31.0,21.818181818181817,0.0,44.44444444444444,1.5873015873015872,0.07602339181286549,0.017543859649122806,0.05847953216374269,0.3684210526315789,0.3684210526315789,0.1111111111111111,0.2376237623762376,0.024752475247524754,0.2722772277227723,0.3118811881188119,0.15346534653465346
11,0.035959809624537285,0.0010576414595452142,0.006167056472602116,62,68,5.0,1.0,7.0,20,20,10.0,5.0,15.0,20,9.0,18.0,13.333333333333334,0.0,0.0,0.0,0.08064516129032258,0.016129032258064516,0.11290322580645161,0.3225806451612903,0.3225806451612903,0.14516129032258066,0.14705882352941177,0.07352941176470588,0.22058823529411764,0.29411764705882354,0.2647058823529412
62,0.0217433508056688,0.0017472335468841002,0.006163660596539524,102,112,4.0,2.0,11.0,35,35,16.0,4.0,27.0,35,15.0,30.0,25.925925925925924,0.0,5.714285714285714,0.0,0.0392156862745098,0.0196078431372549,0.10784313725490197,0.3431372549019608,0.3431372549019608,0.14705882352941177,0.14285714285714285,0.03571428571428571,0.24107142857142858,0.3125,0.26785714285714285
1,0.010054040467512881,0.002178375434627791,0.004679901149937226,219,240,6.0,1.0,25.0,76,76,54.0,1.0,67.0,76,35.0,42.0,28.35820895522388,0.0,43.42105263157895,2.631578947368421,0.0273972602739726,0.0045662100456621,0.1141552511415525,0.3470319634703196,0.3470319634703196,0.1598173515981735,0.225,0.004166666666666667,0.2791666666666667,0.31666666666666665,0.175
51,0.010096083499975613,0.0021460274106228357,0.004654725763230805,203,207,5.0,2.0,8.0,71,71,9.0,3.0,59.0,71,46.0,65.0,67.79661016949152,0.0,5.633802816901409,0.0,0.024630541871921183,0.009852216748768473,0.03940886699507389,0.3497536945812808,0.3497536945812808,0.22660098522167488,0.043478260869565216,0.014492753623188406,0.28502415458937197,0.34299516908212563,0.3140096618357488
20,0.010637309550353028,0.0014864362690449647,0.003976390665000501,208,229,13.0,3.0,18.0,72,72,48.0,3.0,61.0,72,30.0,45.0,11.475409836065573,0.0,34.72222222222222,2.7777777777777777,0.0625,0.014423076923076924,0.08653846153846154,0.34615384615384615,0.34615384615384615,0.14423076923076922,0.2096069868995633,0.013100436681222707,0.2663755458515284,0.314410480349345,0.1965065502183406
41,0.0068254695373339445,0.0019697663765460374,0.003666685205847325,296,298,9.0,1.0,6.0,104,104,14.0,1.0,89.0,104,72.0,90.0,79.7752808988764,0.0,14.423076923076922,6.730769230769231,0.030405405405405407,0.0033783783783783786,0.02027027027027027,0.35135135135135137,0.35135135135135137,0.24324324324324326,0.04697986577181208,0.003355704697986577,0.2986577181208054,0.348993288590604,0.30201342281879195
53,0.016012558869701727,0.000575614861329147,0.0030359622615092176,196,306,2.0,1.0,15.0,79,79,73.0,1.0,76.0,79,20.0,77.0,13.157894736842104,0.0,1.2658227848101267,0.0,0.01020408163265306,0.00510204081632653,0.07653061224489796,0.4030612244897959,0.4030612244897959,0.10204081632653061,0.238562091503268,0.0032679738562091504,0.24836601307189543,0.2581699346405229,0.25163398692810457
25,0.011623376623376624,0.0007142857142857143,0.002881390614588804,176,179,6.0,1.0,28.0,55,55,28.0,6.0,37.0,55,31.0,53.0,29.72972972972973,0.0,0.0,0.0,0.03409090909090909,0.005681818181818182,0.1590909090909091,0.3125,0.3125,0.17613636363636365,0.1564245810055866,0.0335195530726257,0.20670391061452514,0.30726256983240224,0.29608938547486036
36,0.009603789836347977,0.000818260120585702,0.002803283472924177,216,223,7.0,1.0,32.0,67,67,39.0,3.0,55.0,67,42.0,59.0,27.27272727272727,0.0,5.970149253731343,1.4925373134328357,0.032407407407407406,0.004629629629629629,0.14814814814814814,0.3101851851851852,0.3101851851851852,0.19444444444444445,0.17488789237668162,0.013452914798206279,0.24663677130044842,0.3004484304932735,0.2645739910313901
27,0.019417475728155338,0.0003734129947722181,0.0026927193991515977,104,104,1.0,0.0,23.0,28,28,23.0,0.0,26.0,28,24.0,27.0,7.6923076923076925,0.0,0.0,0.0,0.009615384615384616,0.0,0.22115384615384615,0.2692307692307692,0.2692307692307692,0.23076923076923078,0.22115384615384615,0.0,0.25,0.2692307692307692,0.25961538461538464
44,0.01847539201987269,0.0003105107902499612,0.0023951635802734843,114,119,1.0,0.0,19.0,36,36,19.0,0.0,29.0,36,22.0,35.0,6.896551724137931,0.0,0.0,0.0,0.008771929824561403,0.0,0.16666666666666666,0.3157894736842105,0.3157894736842105,0.19298245614035087,0.15966386554621848,0.0,0.24369747899159663,0.3025210084033613,0.29411764705882354
21,0.009296585767174003,0.0005758946935417523,0.00231383975490337,221,226,1.0,0.0,44.0,66,66,44.0,0.0,58.0,66,44.0,58.0,24.137931034482758,0.0,0.0,0.0,0.004524886877828055,0.0,0.19909502262443438,0.2986425339366516,0.2986425339366516,0.19909502262443438,0.19469026548672566,0.0,0.25663716814159293,0.2920353982300885,0.25663716814159293
9,0.007964494163424124,0.0006079766536964981,0.0022005059667867042,257,262,1.0,0.0,37.0,82,82,33.0,0.0,68.0,82,55.0,79.0,29.411764705882355,0.0,0.0,0.0,0.0038910505836575876,0.0,0.14396887159533073,0.31906614785992216,0.31906614785992216,0.2140077821011673,0.12595419847328243,0.0,0.2595419847328244,0.31297709923664124,0.3015267175572519
35,0.004005238791423002,0.0011650219298245613,0.0021601368072860154,513,526,3.0,1.0,9.0,187,187,16.0,1.0,161.0,187,126.0,161.0,85.09316770186336,0.0,8.55614973262032,0.0,0.005847953216374269,0.001949317738791423,0.017543859649122806,0.3645224171539961,0.3645224171539961,0.24561403508771928,0.030418250950570342,0.0019011406844106464,0.3060836501901141,0.35551330798479086,0.3060836501901141
34,0.0057770350919073765,0.0007479907694756108,0.002078742149397901,355,363,16.0,2.0,44.0,112,112,54.0,5.0,93.0,112,69.0,99.0,39.784946236559136,0.0,8.928571428571429,2.6785714285714284,0.04507042253521127,0.005633802816901409,0.12394366197183099,0.3154929577464789,0.3154929577464789,0.19436619718309858,0.1487603305785124,0.013774104683195593,0.256198347107438,0.3085399449035813,0.2727272727272727
